phage,Tailed?,tailMorphology,family,mainHost,hostTaxID,hostCanonicalName,gramStain,receptorLocation,HOST receptors,receptorDomain,domainClass,hostRange,hostRangeBasis,hostRangeConfidence,hostRangeNote,references,doi,comments,verified,Host Receptor has a Gen Bank?,If yes-Link,hostReceptorAccession,genBankTier,genBankGene,Does the Phage RBP have a Uniprot?,"If yes, link",phageRBPAccession,uniProtTier,uniProtProtein,source,sourceCitation,dateRetrieved,needsReview,reviewReasons,_domainNote,_gbNote,_upNote,_taxNote,_gbRecordOrganism,_gbRecordTitle,_upRecordOrganism,_doiStatus,_doiTitle,_litStatus,_litNote,domainConfidence,genBankConfidence,uniProtConfidence
Yep-phi,yes,short,Podoviridae,Yersinia pestis,632,Yersinia pestis,Gram negative,outer membrane and cell wall,outermembrane protein Ail and OmpF and LPS,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Zhao et al. 2013,10.1128/JVI.01948-13, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP033699.1,NZ_CP033699.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/E5L7F4,E5L7F4,specific RBP,Tail fiber protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,yes,low-confidence domain assignment,"multi-domain unresolved, took first-mentioned; all: LPS, Membrane Proteins",host genome fallback: gene(s) OmpF not found,,,Yersinia pestis,"Yersinia pestis strain FDAARGOS_601 chromosome, complete genome",Yersinia phage Yep-phi,resolved,Outer Membrane Proteins Ail and OmpF of Yersinia pestis Are Involved in the Adsorption of T7-Related Bacteriophage Yep-phi,corroborated,11 independent record(s) link Yep-phi to OmpF,low,medium,high
Det7,yes,contractile,Myoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,LPS O antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Walter et al. 2008,10.1128/JVI.01641-07, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP104816.1,NZ_CP104816.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/A0A0C5PSI2,A0A0C5PSI2,specific RBP,Tailspike,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,,,Salmonella enterica subsp. enterica serovar Typhimurium,"Salmonella enterica subsp. enterica serovar Typhimurium strain STMC125 chromosome, complete genome",Salmonella phage Det7,,,,,high,medium,high
kh,yes,long non-contractile,Siphoviridae,Lactococcus lactis,1358,Lactococcus lactis,Gram positive,cell wall,"rhamnose in carbohydrates in cell wall for reversible binding, Pip (phage infection protein)  for irreversible binding",Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,"Valyasevi et al. 1990, Monteville et al. 1994","10.1128/aem.56.6.1882-1889.1990 (Valyasevi et al), 10.1128/aem.60.9.3204-3211.1994 (Monteville et al)", ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP184687.1,NZ_CP184687.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,yes,receptor text does not support domain 'Membrane Proteins',,host genome fallback: no gene symbol in receptor,phage present in UniProt but no tail/RBP protein annotated,,Lactococcus lactis,Lactococcus lactis strain L81 chromosome,,resolved,The bacteriophage kh receptor of Lactococcus lactis subsp. cremoris KH is the rhamnose of the extracellular wall polysaccharide,corroborated,585 independent record(s) link kh to Membrane Proteins,high,medium,none
φFG02,yes,contractile,Myoviridae,Acinetobacter baumannii,470,Acinetobacter baumannii,Gram negative,cell wall,capsular polysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Gordillo Altamirano et al. 2021,10.1038/s41564-020-00830-7, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP156044.1,NZ_CP156044.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Acinetobacter baumannii,"Acinetobacter baumannii strain D13 chromosome, complete genome",,resolved,Bacteriophage-resistant Acinetobacter baumannii are resensitized to antimicrobials,corroborated,11 independent record(s) link φFG02 to capsular polysaccharide,high,medium,none
f1,no,none (filamentous),Inoviridae,Escherichia coli,562,Escherichia coli,Gram negative,"pili, cell envelope","F pili tip as primary attachment, TolA (C-terminal domain) secondary receptor",Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,"Caro and Schnos 1966, Click and Webster 1997","10.1073/pnas.56.1.126 (Caro and Schnos), 10.1128/jb.180.7.1723-1728.1998 (Click and Webster)", ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/M28232.1,M28232.1,specific gene,TolA,yes,https://www.uniprot.org/uniprotkb/P69169,P69169,specific RBP,Attachment protein G3P,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,"multi-domain resolved by cue; also present: Membrane Proteins, Pili",specific receptor gene TolA,name collision resolved by host; other candidates: Brucella phage F1,,Escherichia coli,"E.coli tolerance to colicins (tolA and tolB) genes, complete cds",Enterobacteria phage f1,,,,,medium,high,high
T3,yes,short,Podoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,"Glucosyl-α-1,3-glucose terminus of rough LPS",LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Prehm et al. 1976,10.1016/0022-2836(76)90377-6, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP187781.1,NZ_CP187781.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/P10308,P10308,specific RBP,Tail fiber protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,,,Escherichia coli,"Escherichia coli strain 097H6 chromosome, complete genome",Enterobacteria phage T3,,,,,high,medium,high
φ1026b,yes,long non-contractile,Siphoviridae,Burkholderia mallei,13373,Burkholderia mallei,Gram negative,cell wall,LPS O antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,DeShazer et al. 2004,10.1128/JB.186.12.3938–3950.2004, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP009731.1,NZ_CP009731.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage present in UniProt but no tail/RBP protein annotated,,Burkholderia mallei,"Burkholderia mallei strain Turkey4 chromosome 1, complete sequence",,,,,,high,medium,none
SPN18,yes,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,"BtuB, vitamin B12 membrane transporter",Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Shin et al. 2012,10.1371/journal.pone.0043392, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/M89481.1,M89481.1,specific gene,BtuB,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,specific receptor gene BtuB,phage not found in UniProt,,Salmonella enterica subsp. enterica serovar Typhimurium,"Salmonella typhimurium vitamin B12 transport protein (btuB) gene, complete cds",,resolved,Receptor Diversity and Host Interaction of Bacteriophages Infecting Salmonella enterica Serovar Typhimurium,corroborated,1 independent record(s) link SPN18 to BtuB,high,high,none
SPN4S,yes,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,flagella,FliC or FljB,Flagella,Protein,Undetermined,insufficient-data,none,Flagella host range is context-dependent; no empirical data in source,Shin et al. 2012,10.1371/journal.pone.0043392, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/JN587177.1,JN587177.1,specific gene,FliC,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,specific receptor gene FliC,phage not found in UniProt,,Salmonella enterica subsp. enterica serovar Typhimurium,"Salmonella enterica subsp. enterica serovar Typhimurium strain SJW23 flagellin type 1 (fliC) gene, complete cds",,resolved,Receptor Diversity and Host Interaction of Bacteriophages Infecting Salmonella enterica Serovar Typhimurium,corroborated,1 independent record(s) link SPN4S to FliC,high,high,none
φMR003,yes,contractile,Herelleviridae,Staphylococcus aureus,1280,Staphylococcus aureus,Gram positive,cell wall,backbone of wall teichoic acid,Teichoic Acids,Glycan,Undetermined,insufficient-data,none,Teichoic Acids host range is context-dependent; no empirical data in source,Peng et al. 2019,10.1007/s00253-019-10039-2, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP195878.1,NZ_CP195878.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Staphylococcus aureus,"Staphylococcus aureus strain A_1d chromosome, complete genome",,,,,,high,medium,none
POP72,yes,short,Podoviridae,Pectobacterium carotovorum subsp. carotovorum,555,Pectobacterium carotovorum subsp. carotovorum,Gram negative,cell wall,colanic acid in capsular extracellular polysaccharide,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Kim et al. 2019,10.3389/fmicb.2019.00143, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP117874.1,NZ_CP117874.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Pectobacterium carotovorum subsp. carotovorum,"Pectobacterium carotovorum subsp. carotovorum strain ZJ-4-2 chromosome, complete genome",,,,,,high,medium,none
J-1,yes,long non-contractile,Siphoviridae,Lactobacillus casei,1582,Lacticaseibacillus casei,Gram positive,cell wall,cell wall polysaccharides,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Dieterle et al. 2017,10.1111/mmi.13649, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP074377.1,NZ_CP074377.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/U5U4G9,U5U4G9,other tail protein,Major tail protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,receptor does not fit any defined domain,host genome fallback: no gene symbol in receptor,no specific RBP annotated; using another tail protein (Patrick's fallback),taxonomic synonym applied: Lactobacillus casei -> Lacticaseibacillus casei,Lacticaseibacillus casei,"Lacticaseibacillus casei strain FBL6 chromosome, complete genome",Lactobacillus phage J-1,,,,,none,medium,medium
S103,yes,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,O-antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Gencay et al. 2019,10.1111/1462-2920.14597, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP104816.1,NZ_CP104816.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Salmonella enterica subsp. enterica serovar Typhimurium,"Salmonella enterica subsp. enterica serovar Typhimurium strain STMC125 chromosome, complete genome",,,,,,high,medium,none
A500,yes,long non-contractile,Siphoviridae,Listeria monocytogenes,1639,Listeria monocytogenes,Gram positive,cell wall,galactosyalted GlcNAc residues of wall teichoic acids,Teichoic Acids,Glycan,Undetermined,insufficient-data,none,Teichoic Acids host range is context-dependent; no empirical data in source,Sumrall et al. 2019,10.1111/mmi.14455, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP190322.1,NZ_CP190322.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage present in UniProt but no tail/RBP protein annotated,,Listeria monocytogenes,"Listeria monocytogenes strain 22L1805 chromosome, complete genome",,,,,,high,medium,none
h,yes,long non-contractile,Siphoviridae,Lactococcus lactis,1358,Lactococcus lactis,Gram positive,cell wall,"rhamnose in carbohydrates in cell wall for reversible binding, Pip (phage infection protein)  for irreversible binding",Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Monteville et al. 1994,10.1128/aem.60.9.3204-3211.1994, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP184687.1,NZ_CP184687.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,yes,receptor text does not support domain 'Membrane Proteins',,host genome fallback: no gene symbol in receptor,phage present in UniProt but no tail/RBP protein annotated,,Lactococcus lactis,Lactococcus lactis strain L81 chromosome,,resolved,Lactococcal Bacteriophages Require a Host Cell Wall Carbohydrate and a Plasma Membrane Protein for Adsorption and Ejection of DNA,corroborated,29700 independent record(s) link h to Membrane Proteins,high,medium,none
M6654,yes,long non-contractile,Siphoviridae,Lactococcus lactis,1358,Lactococcus lactis,Gram positive,cell wall,YjaE,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Millen et al. 2023,10.1099/jgv.0.000499, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP184687.1,NZ_CP184687.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,receptor does not fit any defined domain,host genome fallback: gene(s) YjaE not found,phage not found in UniProt,,Lactococcus lactis,Lactococcus lactis strain L81 chromosome,,,,,,none,medium,none
M6162,yes,long non-contractile,Siphoviridae,Lactococcus lactis,1358,Lactococcus lactis,Gram positive,cell wall,YjaE,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Millen et al. 2019,10.1099/jgv.0.000499, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP184687.1,NZ_CP184687.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,receptor does not fit any defined domain,host genome fallback: gene(s) YjaE not found,phage not found in UniProt,,Lactococcus lactis,Lactococcus lactis strain L81 chromosome,,,,,,none,medium,none
S117,yes,contractile,Myoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,O-antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Gencay et al. 2019,10.1111/1462-2920.14597, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP104816.1,NZ_CP104816.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage present in UniProt but no tail/RBP protein annotated,,Salmonella enterica subsp. enterica serovar Typhimurium,"Salmonella enterica subsp. enterica serovar Typhimurium strain STMC125 chromosome, complete genome",,,,,,high,medium,none
F336,yes,contractile,Myoviridae,Campylobacter jejuni,197,Campylobacter jejuni,Gram negative,cell wall,O-methyl phosphoramidate moiety attached to the GalfNAc on the capsular polysaccharide (CPS),Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Sørensen et al. 2011,10.1128/JB.05276-11, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP172364.1,NZ_CP172364.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/A0A7T3KD16,A0A7T3KD16,specific RBP,Receptor binding protein 1,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,,,Campylobacter jejuni,"Campylobacter jejuni strain YH021 chromosome, complete genome",Campylobacter phage F336,resolved,Bacteriophage F336 Recognizes the Capsular Phosphoramidate Modification of Campylobacter jejuni NCTC11168,corroborated,20 independent record(s) link F336 to capsular polysaccharide,high,medium,high
mEp043,yes,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,FhuA,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,"Uc-Mass et al. 2004, Hernandez-Sanchez et al. 2008","10.1016/j.virol.2004.09.005 (Uc-Mass et al), 10.1007/s00705-008-0111-0 (Hernandez-Sanchez et al)", ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/M12486.1,M12486.1,specific gene,FhuA,yes,https://www.uniprot.org/uniprotkb/K7PK01,K7PK01,specific RBP,Tail fiber,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,specific receptor gene FhuA,,,Escherichia coli,"E.coli fhuA, fhuC and fhuD genes encoding the ferrichrome-iron receptor and two ferric aerobactin and ferric coprogen transport proteins, complete cds",Enterobacteria phage mEp043 c-1,,,,,high,high,high
S116,yes,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,"BtuB, vitamin B12 membrane transporter",Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Gencay et al. 2019,10.1111/1462-2920.14597, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/M89481.1,M89481.1,specific gene,BtuB,yes,https://www.uniprot.org/uniprotkb/A0A2Z5HL62,A0A2Z5HL62,specific RBP,Receptor-binding protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,specific receptor gene BtuB,,,Salmonella enterica subsp. enterica serovar Typhimurium,"Salmonella typhimurium vitamin B12 transport protein (btuB) gene, complete cds",Salmonella phage S116,,,,,high,high,high
φM19,yes,contractile,Myoviridae,Sinorhizobium meliloti,382,Sinorhizobium meliloti,Gram negative,cell wall,outer membrane porin RopA1,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Crook et al. 2013,10.1128/JB.00480-13, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP021219.1,NZ_CP021219.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/A0A2P0VGA5,A0A2P0VGA5,specific RBP,Receptor binding protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: gene(s) RopA1 not found,,,Sinorhizobium meliloti RU11/001,"Sinorhizobium meliloti RU11/001 chromosome, complete genome",Streptococcus phage M19,,,,,high,medium,high
φIF3,yes,contractile,Myoviridae,Serratia marcescens,615,Serratia marcescens,Gram negative,cell wall,O-antigen of LPS,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Petty et al. 2006,10.1099/mic.0.28712-0, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP192733.1,NZ_CP192733.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Serratia marcescens,"Serratia marcescens strain CH31 chromosome, complete genome",,,,,,high,medium,none
Ike,no,none (filamentous),Inoviridae,Escherichia coli,562,Escherichia coli,Gram negative,pili,N pili,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,Bradley et al. 1983,10.1128/jb.154.1.505-507.1983, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP187781.1,NZ_CP187781.1,host genome (fallback),,yes,https://www.uniprot.org/uniprotkb/P03663,P03663,specific RBP,Attachment protein G3P,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,,,Escherichia coli,"Escherichia coli strain 097H6 chromosome, complete genome",Salmonella phage IKe,,,,,high,medium,high
KPP22,yes,contractile,Myoviridae,Pseudomonas aeruginosa,287,Pseudomonas aeruginosa,Gram negative,cell wall,O5 antigen of LPS,LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Uchiyama et al. 2016,10.1128/AEM.00090-16, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_OZ484744.1,NZ_OZ484744.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage present in UniProt but no tail/RBP protein annotated,,Pseudomonas aeruginosa,"Pseudomonas aeruginosa strain PA3 isolate PA3 chromosome 1, complete sequence",,,,,,high,medium,none
F387,yes,contractile,Myoviridae,Campylobacter jejuni,197,Campylobacter jejuni,Gram negative,flagella,rotating flagella,Flagella,Protein,Undetermined,insufficient-data,none,Flagella host range is context-dependent; no empirical data in source,Sørensen et al. 2015,10.1371/journal.pone.0116287, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP172364.1,NZ_CP172364.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Campylobacter jejuni,"Campylobacter jejuni strain YH021 chromosome, complete genome",,,,,,high,medium,none
fPS-64,yes,short,Podoviridae,Yersinia enterocolitica,630,Yersinia enterocolitica,Gram negative,cell wall,LPS O antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Salem et al. 2018,10.3390/v10040174, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP139458.1,NZ_CP139458.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Yersinia enterocolitica,"Yersinia enterocolitica strain Y40 chromosome, complete genome",,,,,,high,medium,none
SPN4B,yes,short,Podoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,LPS O antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Shin et al. 2012,10.1371/journal.pone.0043392, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP104816.1,NZ_CP104816.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Salmonella enterica subsp. enterica serovar Typhimurium,"Salmonella enterica subsp. enterica serovar Typhimurium strain STMC125 chromosome, complete genome",,,,,,high,medium,none
K3,yes,contractile,Myoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,Protein d or 3A (OmpA) with LPS ,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Skurray et al. 1974; Manning and Reeves 1976; Van Alphen et al. 1977,"10.1128/jb.119.3.726-735.1974 (Skurray et al), 10.1128/jb.127.3.1070-1079.1976 (Manning and Reeves), 10.1016/0014-5793(77)80104-x (Van Alphen)", ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/EU183344.1,EU183344.1,specific gene,OmpA,yes,https://www.uniprot.org/uniprotkb/Q38394,Q38394,specific RBP,Long tail fiber protein Gp37,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,yes,low-confidence domain assignment,"multi-domain unresolved, took first-mentioned; all: LPS, Membrane Proteins",specific receptor gene OmpA,name collision resolved by host; other candidates: Klebsiella phage GH-K3,,Escherichia coli,"Escherichia coli strain SYW048 outer membrane protein A (ompA) gene, ompA-2 allele, partial cds",Enterobacteria phage K3,resolved,"Con
            <sup>−</sup>
            Mutants: Class of Mutants in
            <i>Escherichia coli</i>
            K-12 Lacking a Major Cell Wall Protein and Defective in Conjugation and Adsorption of a Bacteriophage",corroborated,169 independent record(s) link K3 to OmpA,low,high,high
OWB,yes,short,Podoviridae,Vibrio parahaemolyticus,670,Vibrio parahaemolyticus,Gram negative,cell wall,Vp0980,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Hu et al. 2020,10.1080/22221751.2020.1754134, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP150876.1,NZ_CP150876.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,receptor does not fit any defined domain,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Vibrio parahaemolyticus,"Vibrio parahaemolyticus strain NJIFDCVp17 chromosome 1, complete sequence",,,,,,none,medium,none
ϕJA 1,yes,contractile,Myoviridae,Yersinia pestis,632,Yersinia pestis,Gram negative,cell wall,LPS inner and outer core and Kdo/Ko residues of LPS,LPS,Glycan,Broad,predicted-from-receptor,low,conserved LPS core -> broad predicted,Filippov et al. 2011,10.1371/journal.pone.0025486, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP033699.1,NZ_CP033699.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage present in UniProt but no tail/RBP protein annotated,,Yersinia pestis,"Yersinia pestis strain FDAARGOS_601 chromosome, complete genome",,,,,,high,medium,none
S120,yes,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,O-antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Gencay et al. 2019,10.1111/1462-2920.14597, ,Yes,yes,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP104816.1,NZ_CP104816.1,host genome (fallback),,no,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,no,,,host genome fallback: no gene symbol in receptor,phage not found in UniProt,,Salmonella enterica subsp. enterica serovar Typhimurium,"Salmonella enterica subsp. enterica serovar Typhimurium strain STMC125 chromosome, complete genome",,,,,,high,medium,none
