phage,tailed,tail_morphology,family,main_host,host_taxid,host_canonical_name,gram_stain,receptor_location,host_receptor,receptor_domain,domain_class,host_range,host_range_basis,host_range_confidence,host_range_note,reference,doi,comments,verified,has_genbank,genbank_link,genbank_accession,genbank_tier,genbank_gene,has_uniprot,uniprot_link,uniprot_accession,uniprot_tier,uniprot_protein,source,source_citation,date_retrieved,needs_review,review_reasons,domain_confidence,genbank_confidence,uniprot_confidence
SPN7C,True,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,"BtuB, vitamin B12 membrane transporter",Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Shin et al. 2012,10.1371/journal.pone.0043392, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/M89481.1,M89481.1,specific gene,BtuB,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,high,none
φCO01,True,contractile,Ackermannviridae,Acinetobacter baumannii,470,Acinetobacter baumannii,Gram negative,cell wall,capsular polysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Gordillo Altamirano et al. 2021,10.1038/s41564-020-00830-7, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP156044.1,NZ_CP156044.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
DLP1,True,long non-contractile,Siphoviridae,Stenotrophomonas maltophilia,40324,Stenotrophomonas maltophilia,Gram negative,pilus,type IV pili and functional retraction,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,McCutcheon et al. 2018,10.3390/v10060338, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP031058.1,NZ_CP031058.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
P35,True,long non-contractile,Siphoviridae,Listeria monocytogenes,1639,Listeria monocytogenes,Gram positive,cell wall,N-acetylglucosamine and rhamnose in the wall teichoic acid,Teichoic Acids,Glycan,Undetermined,insufficient-data,none,Teichoic Acids host range is context-dependent; no empirical data in source,Bielmann et al. 2015,10.1016/j.virol.2014.12.035, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP190322.1,NZ_CP190322.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
mEp167,True,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,FhuA,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,"Uc-Mass et al. 2004, Hernandez-Sanchez et al. 2008","10.1016/j.virol.2004.09.005 (Uc-Mass et al), 10.1007/s00705-008-0111-0 (Hernandez-Sanchez et al)", ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/M12486.1,M12486.1,specific gene,FhuA,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,high,none
Salvo,True,long non-contractile,Siphoviridae,Xylella fastidiosa,2371,Xylella fastidiosa,Gram negative,pili,PilA,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,Ahern et al. 2014,10.1128/JB.01080-13, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/MN590488.1,MN590488.1,specific gene,PilA,True,https://www.uniprot.org/uniprotkb/V5Q7X8,V5Q7X8,specific RBP,Tail fiber protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,high,high
PA5oct,True,contractile,Myoviridae,Pseudomonas aeruginosa,287,Pseudomonas aeruginosa,Gram negative,cell wall,"LPS primary receptor, possible Type IV pili is secondary receptor",LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Olszak et al. 2019,10.3390/v11121089, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_OZ484744.1,NZ_OZ484744.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,medium,medium,none
T4 (alternate host),True,contractile,Myoviridae,Escherichia coli B,37762,Escherichia coli B,Gram negative,cell wall,"Glucosyl-α-1,3-glucose terminus of rough LPS",LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Prehm et al. 1976; Mutoh et al. 1978; Goldberg et al. 1994,"10.1016/0022-2836(76)90377-6 (Prehm et al), 10.1128/jb.136.2.693-699.1978 (Mutoh et al), Goldberg E, Grinius L, Letellier L. Recognition, attachment and injection. In: Karam JD (ed.). Molecular Biology of Bacteriophage T4. Washington: American Society for Microbiology, 1994, 347–56", ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP014269.1,NZ_CP014269.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
Yep-phi,True,short,Podoviridae,Yersinia pestis,632,Yersinia pestis,Gram negative,outer membrane and cell wall,outermembrane protein Ail and OmpF and LPS,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Zhao et al. 2013,10.1128/JVI.01948-13, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP033699.1,NZ_CP033699.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/E5L7F4,E5L7F4,specific RBP,Tail fiber protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,True,low-confidence domain assignment,low,medium,high
Det7,True,contractile,Myoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,LPS O antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Walter et al. 2008,10.1128/JVI.01641-07, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP104816.1,NZ_CP104816.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/A0A0C5PSI2,A0A0C5PSI2,specific RBP,Tailspike,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,high
kh,True,long non-contractile,Siphoviridae,Lactococcus lactis,1358,Lactococcus lactis,Gram positive,cell wall,"rhamnose in carbohydrates in cell wall for reversible binding, Pip (phage infection protein)  for irreversible binding",Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,"Valyasevi et al. 1990, Monteville et al. 1994","10.1128/aem.56.6.1882-1889.1990 (Valyasevi et al), 10.1128/aem.60.9.3204-3211.1994 (Monteville et al)", ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP184687.1,NZ_CP184687.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,True,receptor text does not support domain 'Membrane Proteins',high,medium,none
φFG02,True,contractile,Myoviridae,Acinetobacter baumannii,470,Acinetobacter baumannii,Gram negative,cell wall,capsular polysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Gordillo Altamirano et al. 2021,10.1038/s41564-020-00830-7, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP156044.1,NZ_CP156044.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
f1,False,none (filamentous),Inoviridae,Escherichia coli,562,Escherichia coli,Gram negative,"pili, cell envelope","F pili tip as primary attachment, TolA (C-terminal domain) secondary receptor",Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,"Caro and Schnos 1966, Click and Webster 1997","10.1073/pnas.56.1.126 (Caro and Schnos), 10.1128/jb.180.7.1723-1728.1998 (Click and Webster)", ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/M28232.1,M28232.1,specific gene,TolA,True,https://www.uniprot.org/uniprotkb/P69169,P69169,specific RBP,Attachment protein G3P,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,medium,high,high
T3,True,short,Podoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,"Glucosyl-α-1,3-glucose terminus of rough LPS",LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Prehm et al. 1976,10.1016/0022-2836(76)90377-6, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP187781.1,NZ_CP187781.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/P10308,P10308,specific RBP,Tail fiber protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,high
φ1026b,True,long non-contractile,Siphoviridae,Burkholderia mallei,13373,Burkholderia mallei,Gram negative,cell wall,LPS O antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,DeShazer et al. 2004,10.1128/JB.186.12.3938–3950.2004, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP009731.1,NZ_CP009731.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
SPN18,True,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,"BtuB, vitamin B12 membrane transporter",Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Shin et al. 2012,10.1371/journal.pone.0043392, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/M89481.1,M89481.1,specific gene,BtuB,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,high,none
SPN4S,True,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,flagella,FliC or FljB,Flagella,Protein,Undetermined,insufficient-data,none,Flagella host range is context-dependent; no empirical data in source,Shin et al. 2012,10.1371/journal.pone.0043392, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/JN587177.1,JN587177.1,specific gene,FliC,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,high,none
φMR003,True,contractile,Herelleviridae,Staphylococcus aureus,1280,Staphylococcus aureus,Gram positive,cell wall,backbone of wall teichoic acid,Teichoic Acids,Glycan,Undetermined,insufficient-data,none,Teichoic Acids host range is context-dependent; no empirical data in source,Peng et al. 2019,10.1007/s00253-019-10039-2, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP195878.1,NZ_CP195878.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
POP72,True,short,Podoviridae,Pectobacterium carotovorum subsp. carotovorum,555,Pectobacterium carotovorum subsp. carotovorum,Gram negative,cell wall,colanic acid in capsular extracellular polysaccharide,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Kim et al. 2019,10.3389/fmicb.2019.00143, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP117874.1,NZ_CP117874.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
J-1,True,long non-contractile,Siphoviridae,Lactobacillus casei,1582,Lacticaseibacillus casei,Gram positive,cell wall,cell wall polysaccharides,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Dieterle et al. 2017,10.1111/mmi.13649, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP074377.1,NZ_CP074377.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/U5U4G9,U5U4G9,other tail protein,Major tail protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,none,medium,medium
S103,True,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,O-antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Gencay et al. 2019,10.1111/1462-2920.14597, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP104816.1,NZ_CP104816.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
A500,True,long non-contractile,Siphoviridae,Listeria monocytogenes,1639,Listeria monocytogenes,Gram positive,cell wall,galactosyalted GlcNAc residues of wall teichoic acids,Teichoic Acids,Glycan,Undetermined,insufficient-data,none,Teichoic Acids host range is context-dependent; no empirical data in source,Sumrall et al. 2019,10.1111/mmi.14455, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP190322.1,NZ_CP190322.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
h,True,long non-contractile,Siphoviridae,Lactococcus lactis,1358,Lactococcus lactis,Gram positive,cell wall,"rhamnose in carbohydrates in cell wall for reversible binding, Pip (phage infection protein)  for irreversible binding",Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Monteville et al. 1994,10.1128/aem.60.9.3204-3211.1994, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP184687.1,NZ_CP184687.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,True,receptor text does not support domain 'Membrane Proteins',high,medium,none
M6654,True,long non-contractile,Siphoviridae,Lactococcus lactis,1358,Lactococcus lactis,Gram positive,cell wall,YjaE,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Millen et al. 2023,10.1099/jgv.0.000499, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP184687.1,NZ_CP184687.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,none,medium,none
M6162,True,long non-contractile,Siphoviridae,Lactococcus lactis,1358,Lactococcus lactis,Gram positive,cell wall,YjaE,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Millen et al. 2019,10.1099/jgv.0.000499, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP184687.1,NZ_CP184687.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,none,medium,none
S117,True,contractile,Myoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,O-antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Gencay et al. 2019,10.1111/1462-2920.14597, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP104816.1,NZ_CP104816.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
F336,True,contractile,Myoviridae,Campylobacter jejuni,197,Campylobacter jejuni,Gram negative,cell wall,O-methyl phosphoramidate moiety attached to the GalfNAc on the capsular polysaccharide (CPS),Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Sørensen et al. 2011,10.1128/JB.05276-11, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP172364.1,NZ_CP172364.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/A0A7T3KD16,A0A7T3KD16,specific RBP,Receptor binding protein 1,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,high
mEp043,True,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,FhuA,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,"Uc-Mass et al. 2004, Hernandez-Sanchez et al. 2008","10.1016/j.virol.2004.09.005 (Uc-Mass et al), 10.1007/s00705-008-0111-0 (Hernandez-Sanchez et al)", ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/M12486.1,M12486.1,specific gene,FhuA,True,https://www.uniprot.org/uniprotkb/K7PK01,K7PK01,specific RBP,Tail fiber,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,high,high
S116,True,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,"BtuB, vitamin B12 membrane transporter",Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Gencay et al. 2019,10.1111/1462-2920.14597, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/M89481.1,M89481.1,specific gene,BtuB,True,https://www.uniprot.org/uniprotkb/A0A2Z5HL62,A0A2Z5HL62,specific RBP,Receptor-binding protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,high,high
φM19,True,contractile,Myoviridae,Sinorhizobium meliloti,382,Sinorhizobium meliloti,Gram negative,cell wall,outer membrane porin RopA1,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Crook et al. 2013,10.1128/JB.00480-13, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP021219.1,NZ_CP021219.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/A0A2P0VGA5,A0A2P0VGA5,specific RBP,Receptor binding protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,high
φIF3,True,contractile,Myoviridae,Serratia marcescens,615,Serratia marcescens,Gram negative,cell wall,O-antigen of LPS,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Petty et al. 2006,10.1099/mic.0.28712-0, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP192733.1,NZ_CP192733.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
Ike,False,none (filamentous),Inoviridae,Escherichia coli,562,Escherichia coli,Gram negative,pili,N pili,Pili,Protein,Undetermined,insufficient-data,none,Pili host range is context-dependent; no empirical data in source,Bradley et al. 1983,10.1128/jb.154.1.505-507.1983, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP187781.1,NZ_CP187781.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/P03663,P03663,specific RBP,Attachment protein G3P,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,high
KPP22,True,contractile,Myoviridae,Pseudomonas aeruginosa,287,Pseudomonas aeruginosa,Gram negative,cell wall,O5 antigen of LPS,LPS,Glycan,Narrow,predicted-from-receptor,low,O-antigen LPS generally serotype-specific -> narrow predicted (weak),Uchiyama et al. 2016,10.1128/AEM.00090-16, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_OZ484744.1,NZ_OZ484744.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
F387,True,contractile,Myoviridae,Campylobacter jejuni,197,Campylobacter jejuni,Gram negative,flagella,rotating flagella,Flagella,Protein,Undetermined,insufficient-data,none,Flagella host range is context-dependent; no empirical data in source,Sørensen et al. 2015,10.1371/journal.pone.0116287, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP172364.1,NZ_CP172364.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
fPS-64,True,short,Podoviridae,Yersinia enterocolitica,630,Yersinia enterocolitica,Gram negative,cell wall,LPS O antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Salem et al. 2018,10.3390/v10040174, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP139458.1,NZ_CP139458.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
SPN4B,True,short,Podoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,LPS O antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Shin et al. 2012,10.1371/journal.pone.0043392, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP104816.1,NZ_CP104816.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
K3,True,contractile,Myoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,Protein d or 3A (OmpA) with LPS ,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Skurray et al. 1974; Manning and Reeves 1976; Van Alphen et al. 1977,"10.1128/jb.119.3.726-735.1974 (Skurray et al), 10.1128/jb.127.3.1070-1079.1976 (Manning and Reeves), 10.1016/0014-5793(77)80104-x (Van Alphen)", ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/EU183344.1,EU183344.1,specific gene,OmpA,True,https://www.uniprot.org/uniprotkb/Q38394,Q38394,specific RBP,Long tail fiber protein Gp37,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,True,low-confidence domain assignment,low,high,high
OWB,True,short,Podoviridae,Vibrio parahaemolyticus,670,Vibrio parahaemolyticus,Gram negative,cell wall,Vp0980,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Hu et al. 2020,10.1080/22221751.2020.1754134, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP150876.1,NZ_CP150876.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,none,medium,none
ϕJA 1,True,contractile,Myoviridae,Yersinia pestis,632,Yersinia pestis,Gram negative,cell wall,LPS inner and outer core and Kdo/Ko residues of LPS,LPS,Glycan,Broad,predicted-from-receptor,low,conserved LPS core -> broad predicted,Filippov et al. 2011,10.1371/journal.pone.0025486, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP033699.1,NZ_CP033699.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
S120,True,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,O-antigen,LPS,Glycan,Narrow,predicted-from-receptor,medium,specific O-antigen/serotype -> narrow predicted,Gencay et al. 2019,10.1111/1462-2920.14597, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP104816.1,NZ_CP104816.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
P475,True,long non-contractile,Siphoviridae,Lactococcus lactis,1358,Lactococcus lactis,Gram positive,cell wall,cell wall polysaccharides,N/A,,Undetermined,insufficient-data,none,receptor does not support a host-range prediction,Mahony et al. 2013,10.1128/AEM.00653-13, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP184687.1,NZ_CP184687.1,host genome (fallback),,True,https://www.uniprot.org/uniprotkb/Q71AV6,Q71AV6,specific RBP,Putative receptor binding protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,none,medium,high
F198,True,contractile,Myoviridae,Campylobacter jejuni,197,Campylobacter jejuni,Gram negative,cell wall,MeOPN modification of GalfNAc of capsular polysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Gencay et al. 2018,10.3389/fmicb.2018.00082, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP172364.1,NZ_CP172364.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
DT57C,True,long non-contractile,Siphoviridae,Escherichia coli,562,Escherichia coli,Gram negative,cell wall,protein BtuB and O-polysaccharide (OPS),Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Golomidova et al. 2015,10.3390/v8010026, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/M57568.1,M57568.1,specific gene,BtuB,True,https://www.uniprot.org/uniprotkb/A0A0A7RZA8,A0A0A7RZA8,specific RBP,Receptor binding protein,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,True,low-confidence domain assignment,low,high,high
B6,True,short,Podoviridae,Acinetobacter baumannii,470,Acinetobacter baumannii,Gram negative,cell wall,capsular polysaccharides,Capsular Polysaccharide,Glycan,Narrow,predicted-from-receptor,medium,capsule/K-antigen is strain/serotype specific -> narrow predicted,Oliveira et al. 2017,10.1111/1462-2920.13970, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP156044.1,NZ_CP156044.1,host genome (fallback),,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,medium,none
Gifsy-2,True,long non-contractile,Siphoviridae,Salmonella enterica serovar Typhimurium,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Gram negative,cell wall,OmpC,Membrane Proteins,Protein,Broad,predicted-from-receptor,medium,conserved outer membrane protein receptor -> broad predicted,Ho and Slauch 2001,10.1128/JB.183.4.1495–1498.2001, ,True,True,https://www.ncbi.nlm.nih.gov/nuccore/KY421795.1,KY421795.1,specific gene,OmpC,False,,,none,,PhReD,PhReD: The Phage Receptor Database (Bio-conversion Databank Foundation). https://phred.biodf.org,2026-07-10,False,,high,high,none
